route_number,day_type,Crown,Paradise,Sand,Goedverwacht,Enon,Moravia,PM Louw,Silverstream,Atlantis Cemetery,Tsitsikamma,Montreal,Charel Uys North,Arion,Atlantis Station
234,Sundays and Public Holidays,11:27,11:28,11:29,11:30,11:32,11:33,11:34,11:36,11:38,11:40,11:41,11:43,11:45,11:45
234,Sundays and Public Holidays,12:09,12:10,12:11,12:12,12:14,12:15,12:16,12:18,12:20,12:22,12:23,12:25,12:27,12:27
234,Sundays and Public Holidays,12:51,12:52,12:53,12:54,12:56,12:57,12:58,13:00,13:02,13:04,13:05,13:07,13:09,13:09
234,Sundays and Public Holidays,13:33,13:34,13:35,13:36,13:38,13:39,13:40,13:42,13:44,13:46,13:47,13:49,13:51,13:51
234,Sundays and Public Holidays,14:15,14:16,14:17,14:18,14:20,14:21,14:22,14:24,14:26,14:28,14:29,14:31,14:33,14:33
234,Sundays and Public Holidays,14:57,14:58,14:59,15:00,15:02,15:03,15:04,15:06,15:08,15:10,15:11,15:13,15:15,15:15
234,Sundays and Public Holidays,15:39,15:40,15:41,15:42,15:44,15:45,15:46,15:48,15:50,15:52,15:53,15:55,15:57,15:57
234,Sundays and Public Holidays,16:21,16:22,16:23,16:24,16:26,16:27,16:28,16:30,16:32,16:34,16:35,16:37,16:39,16:39
234,Sundays and Public Holidays,17:03,17:04,17:05,17:06,17:08,17:09,17:10,17:12,17:14,17:16,17:17,17:19,17:21,17:21
234,Sundays and Public Holidays,17:45,17:46,17:47,17:48,17:50,17:51,17:52,17:54,17:56,17:58,17:59,18:01,18:03,18:03
234,Sundays and Public Holidays,18:27,18:28,18:29,18:30,18:32,18:33,18:34,18:36,18:38,18:40,18:41,18:43,18:45,18:45
234,Sundays and Public Holidays,19:09,19:10,19:11,19:12,19:14,19:15,19:16,19:18,19:20,19:22,19:23,19:25,19:27,19:27
234,Sundays and Public Holidays,19:51,19:52,19:53,19:54,19:56,19:57,19:58,20:00,20:02,20:04,20:05,20:07,20:09,20:09
234,Sundays and Public Holidays,20:33,20:34,20:35,20:36,20:38,20:39,20:40,20:42,20:44,20:46,20:47,20:49,20:51,20:51
234,Sundays and Public Holidays,21:15,21:16,21:17,21:18,21:20,21:21,21:22,21:24,21:26,21:28,21:29,21:31,21:33,21:33
