day_type,MAKHAZA,J BLOCK,ENKANINI,HARARE,MAKHAYA,VILLAGE 3,SITE C,NYANGA TERM,MANDALAY,BELLVILLE,TYGER VALLEY CENTRE,KENRIDGE,DURBANV.MUNICIPALITY,DURBANVILLE,VREDEKLOOF,KUILS RIVER TERM,TAFELSIG LOST CITY
Saturdays,06:20,,,,,,06:40,06:45,,07:15,08:00,,,,,,
Saturdays,06:30,,,,,06:50,07:00,,,07:30,07:45,,,08:15,,,
Saturdays,06:30,,,,,06:45,07:05,,,07:40,08:00,,,,,,
Saturdays,07:00,,,,,07:20,07:30,,,08:00,08:15,,,08:40,,,
Saturdays,,,,08:50,,,via,09:20,,09:50,,,,10:30,,,
Saturdays,07:30,,,,,07:50,08:00,,,08:30,08:45,,,09:10,,,
Saturdays,,,,08:30,,,08:50,,,09:25,10:30,,,,,,
Saturdays,,,,06:30,,,via,07:00,,07:30,,,,08:25,,,
Saturdays,,,,09:00,,,09:20,09:25,,09:55,10:20,,,,,,
Saturdays,,,,09:40,,,10:00,10:05,,10:35,10:40,,,,,,
Sundays,07:30,,,,,07:50,08:00,,,08:30,08:45,,,09:15,,,
Sundays,05:30,,,,,05:50,06:00,,,06:30,06:45,,,07:15,,,
Sundays,06:30,,,,,06:50,07:00,,,07:30,07:40,,,07:45,,,
Sundays,,,,14:00,,,14:20,14:25,,14:55,15:45,,,,,,
Sundays,,,,10:30,,,10:50,,,11:30,11:50,,,,,,
Sundays,09:30,,,,,09:45,10:05,,,10:40,11:00,,,,,,
Sundays,08:30,,,,,08:50,09:00,,,09:30,09:45,,,10:30,,,
Sundays,,,,08:30,,,08:50,,,09:30,09:50,,,,,,
Sundays,06:30,,,,,,06:50,,,07:25,07:45,,,,,,
Sundays,07:30,,,,,,07:50,07:55,,08:25,09:30,,,,,,
Sundays,,,,07:30,,,07:50,,,08:30,08:45,,,,,,
Sundays,,,,07:00,,,07:20,,,08:00,08:20,,,,,,
Sundays,08:30,,,,,08:45,09:05,,,09:40,09:40,,,,,,
