stop_name,lat,lon
WESFLEUR,-33.5638822,18.4883284
WESTERN BLVD,-33.9121651,18.4194854
WESTGATE MALL,-26.1386202,27.8620396
WESTGATE PALMS,,
WESTLAKE,-34.0784902,18.4410137
WESTRIDGE,-29.7233333,31.0816667
WINERY RD,-33.943722,18.8328925
WITSAND,-34.394444,20.846111
WOODSTOCK,-33.9305556,18.4472222
WYNBERG,-34.0036249,18.4672507
WYNBERH,,
YSTERPLAAT,-33.9200207,18.4766999
ZANDVLIET RD,-34.0768278,18.4486782
ZEVENWACHT MALL,,
