ID,ORGN,DSTN
376,STRANDFONTEIN,TOWN CENTRE(MITCHELLS PLAIN)
377,STRANDFONTEIN,TOWN CENTRE(MITCHELLS PLAIN)
378,STRANDFONTEIN,WYNBERG
379,STRANDFONTEIN,WESTGATE MALL(MITCHELLS PLAIN)
380,LANGA,KHAYELITSHA
381,GRASSY PARK,STEENBERG
382,NYANGA,LANGA
383,HANOVER PARK,MANENBERG
384,BEACON VALLEY(CALYPSO SQUARE),MITCHELLS PLAIN
385,CROSS ROADS,CLAREMONT
386,STRAND,RUSTHOF
387,SIR LOWRYS PASS TOWN,MACASSAR
388,CAPE TOWN STATION DECK,MANENBERG
389,CAPE TOWN STATION DECK,MANENBERG
390,KUILSRIVER,MITCHELLS PLAIN
391,SILVERSANDS,EERSTERIVIER
392,MITCHELLS PLAIN(CALYPSO SQUARE),CAPE TOWN
393,PAROW,DELFT
394,FISH HOEK,MASIPHUMELELE
395,BLOEKOMBOS,KHAYELITSHA
396,STRAND,VANDER STEL STATION
397,STRAND,STRAND NORTH
398,KALKFONTEIN,KUILSRIVER
399,MFULENI,EERSTE RIVER
400,SIR LOWRYS PASS TOWN,LOURENSFORD PLAAS
401,SIR LOWRYS PASS TOWN,SOMERSET WEST(HOTTENTOTS HOSPITAL)
402,SIR LOWRYS PASS TOWN,FIRGROVE (R102)
403,SIR LOWRYS PASS TOWN,SOMERSET WEST (SUID STREET WESTRIDGE)
404,SIR LOWRYS PASS TOWN,STRAND (AE &CI)
405,SIR LOWRYS PASS TOWN,SOMERSET WEST
406,SIR LOWRYS PASS TOWN,STRAND
407,SIR LOWRYS PASS TOWN,RUSTHOF (STRAND)
408,SCOTTSDENE,KHAYELITSHA
409,SCOTTSDENE,SCOTTSVILLE
410,SCOTTSDENE,BLOEKOMBOS
411,SCOTTSDENE,BELLVILLE
412,SCOTTSDENE,DURBANVILLE
413,KRAAIFONTEIN,BLOEKOMBOS
414,KRAAIFONTEIN,SCOTTSDENE
415,KRAAIFONTEIN,BRACKENFELL
416,BLOEKOMBOS,WALLACEDENE
417,BLOEKOMBOS,BELLVILLE
418,BLOEKOMBOS,DURBANVILLE
419,MFULENI,KUILSRIVER
420,TABLE VIEW,YSTERPLAAT
421,ELSIES RIVER,EDGEMEAD
422,KHAYELITSHA,SEA POINT
423,ELSIES RIVER,N1 CITY
424,ELSIES RIVER,PAROW
425,ELSIES RIVER,NORWOOD
426,MANENBERG,CLAREMONT
427,LWANDLE,SIR LOWRYS PASS TOWN
428,LWANDLE,STRAND
429,SCOTTSVILLE,BLOEKOMBOS
430,SCOTTSVILLE,DURBANVILLE
431,BISHOP LAVIS,HYPERAMA PAROW
432,HEIDEVELD,CAPE TOWN
433,MITCHELLS PLAIN,HANOVER PARK
434,BISHOP LAVIS,ELSIES RIVER
435,LANGA,MUTUAL STATION
436,FIRGROVE,"KRAMAT WAY,MACASSAR"
437,FIRGROVE,"STEYNRUST RD,SOMERSET WEST"
438,FIRGROVE,LOURENSFORD
439,FIRGROVE,SOMERSET WEST
440,FIRGROVE,STRAND
441,FIRGROVE,STRAND
442,FIRGROVE,STRAND
443,SOMERSET WEST,WINERY RD
444,STRAND,AE & CI STRAND
445,MACASSAR,STRAND
446,MACASSAR,STRAND
447,MACASSAR,SIR LOWRYS PASS TOWN
448,SAREPTA,TYGERBERG HOSPITAL
449,MITCHELLS PLAIN,HANOVER PARK
450,MITCHELLS PLAIN,HANOVER PARK
451,GRASSY APRK,RETREAT
452,FISH HOEK,NOORDHOEK
453,FISH HOEK,KOMMETJIE
454,FISH HOEK,OCEAN VIEW
455,FISH HOEK,SUN VALLEY
456,FISH HOEK,SEA FORTH
457,FISH HOEK,WYNBERG
458,BONTEHEUWEL,CAPE TOWN
459,BONTEHEUWEL,MOWBRAY
460,BONTEHEUWEL,ATHLONE
461,MANENBERG,MOWBRAY
462,OCEAN VIEW,SUN VALLEY
463,OCEAN VIEW,SIMONS TOWN
464,NORTHPINE,SCOTTSVILLE
465,BRACKENFELL STATION,BELLVILLE
466,EIKENFONTEIN,DURBANVILLE
467,EIKENFONTEIN,SCOTTSDENE
468,SCOTTSDENE,EIKENFONTEIN
469,SCOTTSDENE,BRACKENFELL STATION
470,NORTHPINE,EIKENFONTEIN
471,NORTHPINE,BELLVILLE
472,NORTHPINE,SCOTTSDENE
473,KRAAIFONTEIN,BELLVILLE
474,MELTON ROSE,BLUE DOWNS
475,MELTON ROSE,TUSCANY GLEN
476,MELTON ROSE,TUSCANY GLEN
477,MELTON ROSE,EERSTERIVER
478,MELTON ROSE,BLACKHEATH
479,EERSTERIVER,KLEINVLEI
