ROUTECODE,ROUTENAME,STOP_TYPE,STOP_DES,CLASSIFICA,X,Y
APA5,BLAAUWBERG RIDGE to PHILIPPI EAST SAP,LAST,On Sheffield Road 4th after Stock,Stop,18.6162305058127,-34.0061678586806
APA6,PHILIPPI EAST SAP to DURBANVILLE,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APA6,PHILIPPI EAST SAP to DURBANVILLE,LAST,Durbanville,Station,18.6515231852988,-33.8273989225887
APA7,DURBANVILLE to PHILIPPI EAST SAP,FIRST,Durbanville,Station,18.6515231852988,-33.8273989225887
APA7,DURBANVILLE to PHILIPPI EAST SAP,LAST,On Sheffield Road 2nd after Stock,Stop,18.6096464950495,-34.0066970699956
APA8,PHILIPPI EAST SAP to CLAREMONT,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APA8,PHILIPPI EAST SAP to CLAREMONT,LAST,Claremont,Station,18.4662932508338,-33.9803571875837
APA9,CLAREMONT to PHILIPPI EAST SAP,FIRST,Claremont,Station,18.4662932508338,-33.9803571875837
APA9,CLAREMONT to PHILIPPI EAST SAP,LAST,On Sheffield Road 4th after Stock,Stop,18.6162305058127,-34.0061678586806
APB2,CITY GOLDEN ACRE A LANE to PHILIPPI EAST SAP,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
APB2,CITY GOLDEN ACRE A LANE to PHILIPPI EAST SAP,LAST,On Sheffield Road 2nd after Stock,Stop,18.6096464950495,-34.0066970699956
APB4,PHILIPPI EAST SAP to MURDOCH VALLEY,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APB4,PHILIPPI EAST SAP to MURDOCH VALLEY,LAST,On Queens Road after Seaforth,Stop,18.4517457632337,-34.1993673789684
APB5,MURDOCH VALLEY to PHILIPPI EAST SAP,FIRST,Murdoch Valley,Stop,18.4584141556102,-34.2067891885765
APB5,MURDOCH VALLEY to PHILIPPI EAST SAP,LAST,On Sheffield Road 2nd after Stock,Stop,18.6096464950495,-34.0066970699956
APB6,PHILIPPI EAST SAP to WYNBERG,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APB6,PHILIPPI EAST SAP to WYNBERG,LAST,Wynberg,Station,18.4723187782022,-34.005210977062
APB7,WYNBERG to PHILIPPI EAST SAP,FIRST,Wynberg,Station,18.4723187782022,-34.005210977062
APB7,WYNBERG to PHILIPPI EAST SAP,LAST,On Sheffield Road 2nd after Stock,Stop,18.6096464950495,-34.0066970699956
APB8,PHILIPPI EAST SAP to HOUT BAY HARBOUR,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APB8,PHILIPPI EAST SAP to HOUT BAY HARBOUR,LAST,On Atlantic Skipper Street 1st after Kaptein,Stop,18.3447389026058,-34.055857076138
APB9,PHILIPPI EAST SAP to BLAAUWBERG RIDGE,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APB9,PHILIPPI EAST SAP to BLAAUWBERG RIDGE,LAST,On Otto du Plessis Drive 1st after Beach Estate,Stop,18.4580646493365,-33.7895478750064
APC0,PHILIPPI EAST SAP to TYGER VALLEY CENTRE,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APC0,PHILIPPI EAST SAP to TYGER VALLEY CENTRE,LAST,On Willie van Schoor Avenue 2nd after Bill Bezuidenhout,Stop,18.6381188146099,-33.8731859168691
APC1,PHILIPPI EAST SAP to CITY,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APC1,PHILIPPI EAST SAP to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
APC2,PHILIPPI EAST SAP to BELLVILLE,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APC2,PHILIPPI EAST SAP to BELLVILLE,LAST,Bellville,Station,18.6298174453258,-33.9058781585298
APC3,BELLVILLE A LANE to PHILIPPI EAST SAP,FIRST,Bellville,Station,18.6298174453258,-33.9058781585298
APC3,BELLVILLE A LANE to PHILIPPI EAST SAP,LAST,On Sheffield Road 4th after Stock,Stop,18.6162305058127,-34.0061678586806
APC4,PHILIPPI EAST SAP to BLAAUWBERG RIDGE,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APC4,PHILIPPI EAST SAP to BLAAUWBERG RIDGE,LAST,On Otto du Plessis Drive 1st after Beach Estate,Stop,18.4580646493365,-33.7895478750064
APC5,DURBANVILLE to PHILIPPI EAST SAP,FIRST,Durbanville,Station,18.6515231852988,-33.8273989225887
APC5,DURBANVILLE to PHILIPPI EAST SAP,LAST,On Sheffield Road 4th after Stock,Stop,18.6162305058127,-34.0061678586806
APC7,BLAAUWBERG RIDGE to PHILIPPI EAST SAP,FIRST,On Otto du Plessis Drive 1st after Beach Estate,Stop,18.4580646493365,-33.7895478750064
APC7,BLAAUWBERG RIDGE to PHILIPPI EAST SAP,LAST,On Sheffield Road 4th after Stock,Stop,18.6162305058127,-34.0061678586806
