trip_id,day_type,direction,route,CAPE TOWN,WOODSTOCK,SALT RIVER,KOEBERG RD,MAITLAND,WOLTEMADE,MUTUAL,THORNTON,GOODWOOD,VASCO,ELSIES RIVER,PAROW,TYGERBERG,BELLVILLE,KUILS RIVER,BLACKHEATH,MELTONROSE,EERSTE RIVER,FAURE,FIRGROVE,SOMERSET WEST,VAN DER STEL,STRAND
3232,MONDAYS TO FRIDAYS,inbound,S3,20:46,20:41,20:38,20:35,20:33,20:30,20:28,20:25,20:23,20:21,20:19,20:16,20:14,20:10,19:54,19:49,19:44,19:41,19:36,19:30,19:25,19:21,19:16
3290,MONDAYS TO FRIDAYS,inbound,E3,07:30,,,,,,07:18,,,,,,,,06:57,,,06:47,,06:38,06:32,,06:25
3291,MONDAYS TO FRIDAYS,outbound,E3,17:00,,,,,,17:12,,,,,,,,17:32,,,17:43,,17:54,18:01,,18:10
3231,MONDAYS TO FRIDAYS,outbound,S3,,,,,,,,,,,,,,18:51,18:57,19:02,19:06,19:10,19:15,19:21,19:39,19:42,19:48
3200,MONDAYS TO FRIDAYS,inbound,S3,,,,,,,,,,,,,,05:05,04:58,04:53,04:49,04:45,04:40,04:34,04:29,04:25,04:20
3230,MONDAYS TO FRIDAYS,inbound,S3,,,,,,,,,,,,,,18:45,18:38,18:33,18:28,18:25,18:18,18:12,17:56,17:53,17:48
3201,SATURDAYS,outbound,S3,,,,,,,,,,,,,,04:51,04:57,05:02,05:06,05:10,05:15,05:21,05:27,05:30,05:35
3203,SATURDAYS,outbound,S3,,,,,,,,,,,,,,05:38,05:44,05:49,05:53,05:57,06:02,06:08,06:14,06:17,06:22
3205,SATURDAYS,outbound,S3,,,,,,,,,,,,,,06:10,06:16,06:21,06:25,06:29,06:34,06:40,06:56,06:59,07:04
3207,SATURDAYS,outbound,S3,,,,,,,,,,,,,,06:51,06:57,07:02,07:06,07:10,07:15,07:21,07:36,07:39,07:44
3231,SATURDAYS,outbound,S3,,,,,,,,,,,,,,19:10,19:16,19:21,19:25,19:29,19:34,19:40,19:46,19:49,19:54
3200,SATURDAYS,inbound,S3,,,,,,,,,,,,,,05:05,04:58,04:53,04:49,04:45,04:40,04:34,04:29,04:25,04:20
3202,SATURDAYS,inbound,S3,,,,,,,,,,,,,,05:54,05:46,05:41,05:37,05:34,05:28,05:16,05:11,05:07,05:02
3204,SATURDAYS,inbound,S3,,,,,,,,,,,,,,06:40,06:33,06:28,06:24,06:20,06:15,05:59,05:54,05:50,05:45
3228,SATURDAYS,inbound,S3,,,,,,,,,,,,,,17:58,17:51,17:46,17:42,17:38,17:33,17:27,17:22,17:18,17:13
3230,SATURDAYS,inbound,S3,,,,,,,,,,,,,,19:03,18:56,18:51,18:47,18:43,18:38,18:32,18:27,18:23,18:18
3201,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S3,,,,,,,,,,,,,,06:20,06:26,06:31,06:35,06:39,06:44,06:50,06:56,06:59,07:04
3200,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S3,,,,,,,,,,,,,,05:50,05:43,05:38,05:34,05:30,05:25,05:19,05:14,05:10,05:05
3228,MONDAYS TO FRIDAYS,inbound,S3,,,,,,,,,,,,,,17:25,17:18,17:13,17:09,17:06,17:00,16:54,16:49,16:45,16:40
3216,SATURDAYS,inbound,S3,,,,,,,,,,,,,,11:27,11:20,11:15,11:11,11:07,11:02,10:56,10:51,10:47,10:42
3218,SATURDAYS,inbound,S3,,,,,,,,,,,,,,12:25,12:18,12:13,12:09,12:05,12:00,11:54,11:49,11:45,11:40
