trip_id,day_type,direction,route,CAPE TOWN,ESPLANADE,YSTERPLAAT,MUTUAL,LANGA,BONTEHEUWEL,NETREG,HEIDEVELD,NYANGA,PHILIPPI,STOCK ROAD,MANDALAY,NOLUNGILE,NONKQUBELA,KHAYELITSHA,KUYASA,CHRIS HANI
9918,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S11,07:44,07:39,07:35,07:29,07:25,07:22,07:18,07:15,07:12,07:07,07:04,07:02,06:57,06:54,06:48,06:44,06:40
9917,MONDAYS TO FRIDAYS,outbound,S11,06:35,06:39,06:43,06:48,06:53,06:57,07:00,07:03,07:07,07:12,07:15,07:18,07:21,07:24,07:28,07:32,07:36
9408,MONDAYS TO FRIDAYS,inbound,S11,08:04,07:59,07:55,07:49,07:45,07:42,07:38,07:34,07:30,07:25,07:23,07:21,07:16,07:13,07:10,,
9922,SATURDAYS,inbound,S11,08:04,07:59,07:55,07:49,07:45,07:42,07:38,07:35,07:32,07:27,07:24,07:22,07:17,07:14,07:08,07:04,07:00
9917,MONDAYS TO FRIDAYS,outbound,S11,06:40,06:44,06:48,06:53,06:58,07:02,07:05,07:08,07:12,07:17,07:20,07:23,07:26,07:29,07:33,07:37,07:41
9915,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S11,06:45,06:49,06:53,06:58,07:03,07:07,07:10,07:13,07:17,07:22,07:25,07:28,07:31,07:34,07:38,07:42,07:46
9920,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S11,08:24,08:19,08:15,08:09,08:05,08:02,07:58,07:55,07:52,07:47,07:44,07:42,07:37,07:34,07:28,07:24,07:20
9934,MONDAYS TO FRIDAYS,inbound,S11,08:28,08:23,08:19,08:13,08:09,08:06,08:02,07:58,07:54,07:49,07:46,07:44,07:39,07:36,07:33,07:29,07:25
9924,SATURDAYS,inbound,S11,08:29,08:24,08:20,08:14,08:10,08:07,08:03,08:00,07:57,07:52,07:49,07:47,07:42,07:39,07:33,07:29,07:25
9919,MONDAYS TO FRIDAYS,outbound,S11,07:07,07:11,07:15,07:20,07:25,07:29,07:32,07:35,07:39,07:44,07:47,07:50,07:53,07:56,08:00,08:04,08:09
9919,SATURDAYS,outbound,S11,07:10,07:14,07:18,07:23,07:28,07:32,07:35,07:38,07:42,07:47,07:50,07:53,07:56,07:59,08:03,08:07,08:11
9936,MONDAYS TO FRIDAYS,inbound,S11,08:38,08:33,08:29,08:23,08:19,08:16,08:12,08:08,08:04,07:59,07:56,07:54,07:49,07:46,07:43,07:39,07:35
9917,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S11,07:25,07:29,07:33,07:38,07:43,07:47,07:50,07:53,07:57,08:02,08:05,08:08,08:11,08:14,08:18,08:22,08:26
9938,MONDAYS TO FRIDAYS,inbound,S11,08:53,08:48,08:44,08:38,08:34,08:31,08:27,08:23,08:19,08:14,08:11,08:09,08:04,08:01,07:58,07:54,07:50
9926,SATURDAYS,inbound,S11,08:54,08:49,08:45,08:39,08:35,08:32,08:28,08:25,08:22,08:17,08:14,08:12,08:07,08:04,07:58,07:54,07:50
9921,MONDAYS TO FRIDAYS,outbound,S11,07:30,07:34,07:38,07:43,07:48,07:52,07:55,07:58,08:02,08:07,08:10,08:13,08:16,08:19,08:23,08:27,08:31
9940,MONDAYS TO FRIDAYS,inbound,S11,09:03,08:58,08:54,08:48,08:44,08:41,08:37,08:33,08:29,08:24,08:21,08:19,08:14,08:11,08:08,08:04,08:00
9922,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S11,09:04,08:59,08:55,08:49,08:45,08:42,08:38,08:35,08:32,08:27,08:24,08:22,08:17,08:14,08:08,08:04,08:00
