route_codes,schedule_no,endpoint_1,endpoint_2,via_locations
KKW8,45,MAKHAZA,PANORAMA MEDI CLINIC,
KKX1,45,HARARE,PANORAMA MEDI CLINIC,
EDA0;EDB1;EDA1,45,ELSIES RIVER,NYANGA TERM,
KED0;KEC3,45,ELSIES RIVER,HARARE,
KEA7;KEC5;API9,45,ELSIES RIVER,MAKHAZA,
KEA3;KEA0;KEA1;KEA5;KEC1;KEA6,45,HARARE,PANORAMA MEDI CLINIC,
KEB9;KEB8,45,PANORAMA MEDI CLINIC,VILLAGE 3,
EDA2;EDA4;EDA3;EDA5,45,NYANGA TERM,PANORAMA MEDI CLINIC,
KEA8;KEB5;KED1;KEB7;KEB4;KEB0;KEB6,45,MAKHAZA,PANORAMA MEDI CLINIC,
KEA2,45,J BLOCK,PANORAMA MEDI CLINIC,
KEE6,45,PANORAMA MEDI CLINIC,SITE C,
EDB3,45,N1 CITY,NYANGA TERM,
KEC7,45,ELSIES RIVER,VILLAGE 3,
EXB4;EXC0;EXC1;EXC2,45,ELSIES RIVER,PANORAMA MEDI CLINIC,
KEC4,45,HARARE,N1 CITY,
FGA2;FGA3;FGA6;FGA7,46,NYANGA TERM,TYGERBERG STN,
FGA4;FGA5;FGB6,46,NYANGA TERM,PAROW,
KTA7;KTA6;KTE2;KTC7;KTC8;KTA2,46,MAKHAZA,PAROW,
KTB1;KTB2;KTA4,46,KARL BREMER HOSP,VILLAGE 3,
KTB3,46,KARL BREMER HOSP,NYANGA TERM,
KTD1;KTE0;KTA3;KTA0;KTA5,46,HARARE,PAROW,
KTD3,46,PAROW,VILLAGE 3,
KTD7;KTB7,46,HARARE,TYGERBERG STN,
KTB8,46,TYGERBERG STN,VILLAGE 3,
KTC6;KTC1,46,ENKANINI,PAROW,
KTB0,46,KARL BREMER HOSP,MAKHAZA,
KTD2,46,MAKHAZA,TYGERBERG STN,
KTB5,46,MAKHAZA,PEPCOR FACTORY,
KSD6;KSH6,47,HARARE,KUILS RIVER,
RVA3;RVD1,47,HARARE,KUILS RIVER TERM,
RVB2;RVC9,47,KUILS RIVER,SITE C,
RVC8,47,KUILS RIVER TERM,SITE C,
KSI3;KSH0;KSH1;KSB7;KSJ6;KSK5,47,MAKHAZA,MURDOCH VALLEY,
RVI7;RVI6,47,KUILS RIVER,MURDOCH VALLEY,
KSG8;KSA3;KSG9,47,HARARE,MURDOCH VALLEY,
KSK0,47,MURDOCH VALLEY,SITE C,
MCA0;MCA1,48,MANDALAY,TOWN CENTRE,
MIA4;MIB5;MIH4;MIH6,48,TAFELSIG,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,48,TAFELSIG LOST CITY,TOWN CENTRE,
MIC0;MIE8;MIE9;MIF2;MIF3,48,BEACON VALLEY,TOWN CENTRE,
MID5;MID8,48,ROCKLANDS,TOWN CENTRE,
MXC6;MXC2;MXC3;MXD8,48,ALEXANDRA HOSP,ROCKLANDS,
MXC7;MXD0,48,ALEXANDRA HOSP,TAFELSIG,
MXD9,48,ALEXANDRA HOSP,MOWBRAY,
OPB6;OPI6;OPX4;OPG8;OPW5;OPC8;OPF1;OPG9;OPL0,48,MOWBRAY,TOWN CENTRE,
OPJ2;OPX6,48,MOWBRAY,TAFELSIG LOST CITY,
OPU8,48,MOWBRAY,TAFELSIG,
MIA4;MIB5;MIH4;MIH6,49,TAFELSIG,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,49,TAFELSIG LOST CITY,TOWN CENTRE,
MIC4;OMA0;OMA1,49,EASTRIDGE,TOWN CENTRE,
MIC8;MID0;MID2,49,TOWN CENTRE,WESTRIDGE,
MIB1,49,LEAGUES,TOWN CENTRE,
FPA1;FPA5,50,BELLVILLE,KENRIDGE,
DDA6;DDA0;DDA1,52,BUSY CORNER,CLAREMONT,
LBA0;LBA1;LBD1,53,JUBILEE SQUARE,OCEAN VIEW,
LBB0;LBB1,53,OCEAN VIEW,SIMONSTOWN,
LBB2,53,KOMMETJIE,OCEAN VIEW,
LBD8;LBF0,53,OCEAN VIEW,TOP STONES FACTORY,
LBE4;LBA8,53,OCEAN VIEW,SEA FORTH,
LCA2;LCA3,53,SEA FORTH,SIMONSTOWN,
LCG8,53,JUBILEE SQUARE,SIMONSTOWN,
LSB5;LSD3;LSB8,53,OCEAN VIEW,SEA FORTH,
LBA2;LBA4;LBE8;LBE9;LBA5;LBC5;LBE6,53,MURDOCH VALLEY,OCEAN VIEW,
LCD2,53,MURDOCH VALLEY,SEA FORTH,
LCF3,53,JUBILEE SQUARE,MURDOCH VALLEY,
LCA0;LCA1,53,MURDOCH VALLEY,SIMONSTOWN,
LCG5,53,MURDOCH VALLEY,SEA FORTH,
LCC2;LCC3;LSB6,53,FISH HOEK,MURDOCH VALLEY,
LCC5;LCC4,53,FISH HOEK,SEA FORTH,
LAB2;LAA0;LAA5;LAD3;LAC4;LAA4;LAA1;LAB3;LAE5,53,FISH HOEK,OCEAN VIEW,
LCC7,53,FISH HOEK,JUBILEE SQUARE,
LSD8;LSD4,53,FISH HOEK,OCEAN VIEW,
LSH4,53,FISH HOEK,KOMMETJIE,
LSF9,53,KOMMETJIE,SEA FORTH,
LAD1;LAE7;LAC3;LAC2;LAB0,53,FISH HOEK,KOMMETJIE,
LBB2,54,KOMMETJIE,OCEAN VIEW,
LBD8;LBF0,54,OCEAN VIEW,TOP STONES FACTORY,
LBE4;LBA8,54,OCEAN VIEW,SEA FORTH SCH,
LCD0,54,SEA FORTH SCH,SITE 5 CROSSRDS,
LSB5;LSD3;LSB8,54,OCEAN VIEW,SEA FORTH SCH,
LBA2;LBA4;LBE8;LBE9;LBA5;LBC5;LBE6,54,MURDOCH VALLEY,OCEAN VIEW,
LCD2,54,MURDOCH VALLEY,SEA FORTH SCH,
LCG5,54,MURDOCH VALLEY,SEA FORTH SCH,
LCC2;LCC3;LSB6,54,FISH HOEK,MURDOCH VALLEY,
LCC5;LCC4,54,FISH HOEK,SEA FORTH SCH,
LAB2;LAA0;LAA5;LAD3;LAC4;LAA4;LAA1;LAB3;LAE5,54,FISH HOEK,OCEAN VIEW,
LSD8;LSD4,54,FISH HOEK,OCEAN VIEW,
LSH4,54,FISH HOEK,KOMMETJIE,
LAA6,54,FISH HOEK,KOMMETJIE,SUN VALLEY
LSF9,54,KOMMETJIE,SEA FORTH SCH,
LAD1;LAE7;LAC3;LAC2;LAB0,54,FISH HOEK,KOMMETJIE,
LSI0,54,FISH HOEK,NOORDHOEK,
LAH1,54,FISH HOEK,SUN VALLEY,
LAB9;LAB8,54,OCEAN VIEW,PICK 'N PAY,
LAB4;LAA7;LAB5;LAF0;LAF8,54,FISH HOEK,NOORDHOEK,
LCC0,54,MURDOCH VALLEY,NOORDHOEK,
LBC3;LBC2,54,NOORDHOEK,OCEAN VIEW,
