schedule_number,direction,destination_1,destination_2,destination_3,destination_4
147,02,STRAND,SOMERSET WEST,BLUEDOWNS,DELFT
148,01,BLUEDOWNS,DELFT,WYNBERG,
148,02,WYNBERG,BLUEDOWNS,DELFT,
149,01,MANDALAY,TOWN CENTRE,,
151,01,LOTUS RIVER,SIMONSTOWN,,
154,01,HEATHFIELD SCHOOLS,STEENBERG,RETREAT,
155,01,SEA FORTH SCHOOLS,NOORDHOEK,OCEAN VIEW,
155,02,OCEAN VIEW,NOORDHOEK,SEA FORTH SCHOOLS,
157,01,TYGERBERG,RAVENSMEAD,KILLARNEY,
157,02,KILLARNEY,RAVENSMEAD,TYGERBERG,
160,01,MANDALAY,CLAREMONT,,
160,02,CLAREMONT,MANDALAY,,
163,01,MANENBERG,HEIDEVELD,EPPING IND,
163,02,EPPING IND,HEIDEVELD,MANENBERG,
164,01,STEENBERG,LOTUS RIVER,CAPE TOWN,
164,02,CAPE TOWN,LOTUS RIVER,STEENBERG,
167,01,HEIDEVELD,KILLARNEY,,
168,01,ATLAS GDNS,DU NOON,KILLARNEY,BLAAUWBERG
168,02,BLAAUWBERG,KILLARNEY,DU NOON,ATLAS GDNS
169,01,KHAYELITSHA,NYANGA,MAITLAND SCHOOLS,
169,02,MAITLAND SCHOOLS,NYANGA,KHAYELITSHA,
171,01,MACASSAR,HELDERBERG,SOMERSET WEST,
171,02,SOMERSET WEST,HELDERBERG,MACASSAR,
172,01,DELFT,KILLARNEY,,
172,02,KILLARNEY,DELFT,,
174,01,TOWN CENTRE,CENTURY CITY,,
174,02,CENTURY CITY,TOWN CENTRE,,
175,01,STRANDFONTEIN,KILLARNEY,ATLANTIS,
175,02,ATLANTIS,KILLARNEY,STRANDFONTEIN,
177,01,BONTEHEUWEL,KILLARNEY,,
177,02,KILLARNEY,BONTEHEUWEL,,
179,01,OUDE MOLEN SCH,CAMBRIDGE,KOEBERG POWER STN,
181,01,KHAYELITSHA,TYGER VALLEY,DURBANVILLE,
181,02,DURBANVILLE,TYGER VALLEY,KHAYELITSHA,
182,01,PHILIPPI EAST SAP,NYANGA,TYGERBERG,
182,02,TYGERBERG,NYANGA,PHILIPPI EAST SAP,
183,01,KENRIDGE,WELGEMOED,CAPE TOWN,
183,02,CAPE TOWN,WELGEMOED,KENRIDGE,
184,01,MOWBRAY,KILLARNEY,,
184,02,KILLARNEY,MOWBRAY,,
185,01,BEACON VALLEY,TOWN CENTRE,,
186,01,TOWN CENTRE,METRO,,
186,02,METRO,TOWN CENTRE,,
187,01,PHILIPPI EAST SAP,CLAREMONT,,
187,02,CLAREMONT,PHILIPPI EAST SAP,,
188,01,TOWN CENTRE,SOMERSET WEST,,
188,02,SOMERSET WEST,TOWN CENTRE,,
189,01,FISH HOEK SCHOOLS,DA GAMA PARK,MURDOCH VALLEY,
189,02,FISH HOEK SCHOOLS,OCEAN VIEW,NOORDHOEK,
190,01,PERDEKLOOF,DA GAMA PARK,SIMONSTOWN,FISH HOEK
190,02,FISH HOEK,SIMONSTOWN,DA GAMA PARK,PERDEKLOOF
192,01,BLUEDOWNS,DELFT,VALKENBERG HOSP,
192,02,VALKENBERG HOSP,DELFT,BLUEDOWNS,
193,01,STRAND,SOMERSET WEST,CAPE TOWN,
193,02,CAPE TOWN,SOMERSET WEST,STRAND,
195,01,DELFT,TYGERBERG,,
196,01,BONTEHEUWEL,WYNBERG,,
196,02,WYNBERG,BONTEHEUWEL,,
197,01,STEENBERG,ATHLONE IND,EPPING IND,
197,02,EPPING IND,ATHLONE IND,STEENBERG,
210,01,ALEXANDRA HOSP,ELECTRIC CITY,,
210,02,ELECTRIC CITY,ALEXANDRA HOSP,,
211,01,FIRGROVE,ARTSCAPE,,
211,02,ARTSCAPE,FIRGROVE,,
212,01,MALMESBURY,CHATSWORTH,UWC,TYGERBERG HOSP
212,02,TYGERBERG HOSP,UWC,CHATSWORTH,MALMESBURY
213,01,STRAND,BELLVILLE,,
213,02,BELLVILLE,STRAND,,
214,01,KAPTEINSKLIP,CAPE TOWN,,
214,02,CAPE TOWN,KAPTEINSKLIP,,
215,01,ENKANINI,CAPE TOWN,,
215,02,CAPE TOWN,ENKANINI,,
216,01,CAPE GATE,CLAREMONT,,
