LONGITUD_1,Latitude,StationNAm,OID_,Rank,Name,LATITUDE_1,PLACENAM_3,Station__1,StationOwn,Total,StationID,RegionID,OBJECTID,ENTITY_1,SubRegion,StationI_1,REMARKS_1,Station,STATIONCAT,Longitude,PLACENAM_2,Address
18.58620313,-33.90957499973012,PAROW,210,36,PAROW,-33.90957539,PAROW,POW,PRASA STATION,2297191.3,POW,WC,48,PRASA,Western Cape,POW, ,PAROW,Core,18.586203000344547,PAROW,"Parow, Cloete Road, Cape Town Ward 26, Parow, City of Cape Town, Western Cape, 7501, South Africa"
18.64596549,-33.9348319999072,PENTECH,200,187,PENTECH,-33.93483171,PENTECH,PEI,PRASA STATION,2296553.8,PEI,WC,49,PRASA,Western Cape,PEI, ,PENTECH,Small,18.64596499957598,PENTECH,"Pentech, Armstrong Road, Cape Town Ward 12, City of Cape Town, Western Cape, 7532, South Africa"
18.58538533,-34.013361000737525,PHILIPPI,211,7,PHILIPPI,-34.01336083,PHILIPPI,PPI,PRASA STATION,2218940.5,PPI,WC,50,PRASA,Western Cape,PPI, ,PHILIPPI,Supercore,18.58538499977875,PHILIPPI,"Philippi, Zongothi Street, Cape Town Ward 34, City of Cape Town, Western Cape, 7750, South Africa"
18.49066231,-33.94012100004447,PINELANDS,209,214,PINELANDS,-33.94012145,PINELANDS,PND,PRASA STATION,2128863,PND,WC,51,PRASA,Western Cape,PND, ,PINELANDS,Small,18.490662000604747,PINELANDS,"Pinelands, Alexandra Road, Pinelands, Cape Town, City of Cape Town, Western Cape, 7925, South Africa"
18.46973902,-34.02203299981022,PLUMSTEAD,208,109,PLUMSTEAD,-34.02203299,PLUMSTEAD,PMS,PRASA STATION,2073623.1,PMS,WC,52,PRASA,Western Cape,PMS, ,PLUMSTEAD,Intermediate,18.469739000700663,PLUMSTEAD,"Plumstead, Kenneth Road, Deurdrif, Cape Town Ward 73, Cape Town, City of Cape Town, Western Cape, 7800, South Africa"
18.46293584,-34.05983899967515,RETREAT,217,13,RETREAT,-34.05983921,RETREAT,RET,PRASA STATION,1872132.4,RET,WC,53,PRASA,Western Cape,RET, ,RETREAT,Core,18.46293600018286,RETREAT,"Retreat, Retreat East Rank, Square Hill, Cape Town Ward 72, City of Cape Town, Western Cape, 7945, South Africa"
18.4723694,-33.96216100002202,RONDEBOSCH,216,208,RONDEBOSCH,-33.96216098,RONDEBOSCH,RCH,PRASA STATION,1742384.7,RCH,WC,54,PRASA,Western Cape,RCH, ,RONDEBOSCH,Small,18.472369000135917,RONDEBOSCH,"Rondebosch, Station Road, Cape Town Ward 57, Cape Town, City of Cape Town, Western Cape, 7700, South Africa"
18.47314313,-33.95472399957928,ROSEBANK,225,278,ROSEBANK,-33.95472401,ROSEBANK,RSN,PRASA STATION,1686454.5,RSN,WC,55,PRASA,Western Cape,RSN, ,ROSEBANK,Small,18.473143000309555,ROSEBANK,"Rosebank, Guildford Road, Cape Town Ward 57, Cape Town, City of Cape Town, Western Cape, 7700, South Africa"
18.6613838,-33.92651300016174,SAREPTA,241,312,SAREPTA,-33.92651295,SAREPTA,SRP,PRASA STATION,1545785.7,SRP,WC,56,PRASA,Western Cape,SRP, ,SAREPTA,Small,18.661384000477874,SAREPTA,"Sarepta, Sacks Circle, Glenhaven, Cape Town Ward 9, Bellville, City of Cape Town, Western Cape, 7532, South Africa"
18.84143552,-34.08422400042542,SOMERSET WEST,242,182,SOMERSET WEST,-34.08422432,SOMERSET WEST,SSW,PRASA STATION,1357420.4,SSW,WC,57,PRASA,Western Cape,SSW, ,SOMERSET WEST,Small,18.84143599973856,SOMERSET WEST,"Somerset West, De Beers Avenue, Silvertas, Cape Town Ward 15, Somerset West, City of Cape Town, Western Cape, 7136, South Africa"
18.48159886,-34.03296899990828,SOUTHFIELD,231,165,SOUTHFIELD,-34.03296899,SOUTHFIELD,SFS,PRASA STATION,1253688.8,SFS,WC,58,PRASA,Western Cape,SFS, ,SOUTHFIELD,Intermediate,18.48159900015247,SOUTHFIELD,"Southfield, Alduwa Road, Cape Town Ward 72, City of Cape Town, Western Cape, 7800, South Africa"
