route_number,day_type,Melkbosstrand,Hol Bay,La Paloma,Waters Edge,Marine,Big Bay,De Mist,Kleinbaai,Bokkombaai,Perlemoen,Shell,Seal,Marine Circle,Popham,Table View
214C,Saturdays,19:57,20:00,20:04,20:05,20:06,20:07,20:09,20:10,20:11,20:12,20:13,20:14,20:16,20:17,20:19
214C,Saturdays,20:25,20:28,20:32,20:33,20:34,20:35,20:37,20:38,20:39,20:40,20:41,20:42,20:44,20:45,20:47
214C,Saturdays,20:53,20:56,21:00,21:01,21:02,21:03,21:05,21:06,21:07,21:08,21:09,21:10,21:12,21:13,21:15
214C,Sundays and Public Holidays,05:57,06:00,06:04,06:05,06:06,06:07,06:09,06:10,06:11,06:12,06:13,06:14,06:16,06:17,06:19
214C,Sundays and Public Holidays,06:25,06:28,06:32,06:33,06:34,06:35,06:37,06:38,06:39,06:40,06:41,06:42,06:44,06:45,06:47
214C,Sundays and Public Holidays,06:53,06:56,07:00,07:01,07:02,07:03,07:05,07:06,07:07,07:08,07:09,07:10,07:12,07:13,07:15
214C,Sundays and Public Holidays,07:21,07:24,07:28,07:29,07:30,07:31,07:33,07:34,07:35,07:36,07:37,07:38,07:40,07:41,07:43
214C,Sundays and Public Holidays,07:49,07:52,07:56,07:57,07:58,07:59,08:01,08:02,08:03,08:04,08:05,08:06,08:08,08:09,08:11
214C,Sundays and Public Holidays,08:17,08:20,08:24,08:25,08:26,08:27,08:29,08:30,08:31,08:32,08:33,08:34,08:36,08:37,08:39
214C,Sundays and Public Holidays,08:45,08:48,08:52,08:53,08:54,08:55,08:57,08:58,08:59,09:00,09:01,09:02,09:04,09:05,09:07
214C,Sundays and Public Holidays,09:13,09:16,09:20,09:21,09:22,09:23,09:25,09:26,09:27,09:28,09:29,09:30,09:32,09:33,09:35
214C,Sundays and Public Holidays,09:41,09:44,09:48,09:49,09:50,09:51,09:53,09:54,09:55,09:56,09:57,09:58,10:00,10:01,10:03
214C,Sundays and Public Holidays,10:09,10:12,10:16,10:17,10:18,10:19,10:21,10:22,10:23,10:24,10:25,10:26,10:28,10:29,10:31
214C,Sundays and Public Holidays,10:37,10:40,10:44,10:45,10:46,10:47,10:49,10:50,10:51,10:52,10:53,10:54,10:56,10:57,10:59
214C,Sundays and Public Holidays,11:05,11:08,11:12,11:13,11:14,11:15,11:17,11:18,11:19,11:20,11:21,11:22,11:24,11:25,11:27
214C,Sundays and Public Holidays,11:33,11:36,11:40,11:41,11:42,11:43,11:45,11:46,11:47,11:48,11:49,11:50,11:52,11:53,11:55
214C,Sundays and Public Holidays,12:01,12:04,12:08,12:09,12:10,12:11,12:13,12:14,12:15,12:16,12:17,12:18,12:20,12:21,12:23
214C,Sundays and Public Holidays,12:29,12:32,12:36,12:37,12:38,12:39,12:41,12:42,12:43,12:44,12:45,12:46,12:48,12:49,12:51
214C,Sundays and Public Holidays,12:57,13:00,13:04,13:05,13:06,13:07,13:09,13:10,13:11,13:12,13:13,13:14,13:16,13:17,13:19
214C,Sundays and Public Holidays,13:25,13:28,13:32,13:33,13:34,13:35,13:37,13:38,13:39,13:40,13:41,13:42,13:44,13:45,13:47
214C,Sundays and Public Holidays,13:53,13:56,14:00,14:01,14:02,14:03,14:05,14:06,14:07,14:08,14:09,14:10,14:12,14:13,14:15
214C,Sundays and Public Holidays,14:21,14:24,14:28,14:29,14:30,14:31,14:33,14:34,14:35,14:36,14:37,14:38,14:40,14:41,14:43
214C,Sundays and Public Holidays,14:49,14:52,14:56,14:57,14:58,14:59,15:01,15:02,15:03,15:04,15:05,15:06,15:08,15:09,15:11
214C,Sundays and Public Holidays,15:17,15:20,15:24,15:25,15:26,15:27,15:29,15:30,15:31,15:32,15:33,15:34,15:36,15:37,15:39
214C,Sundays and Public Holidays,15:45,15:48,15:52,15:53,15:54,15:55,15:57,15:58,15:59,16:00,16:01,16:02,16:04,16:05,16:07
214C,Sundays and Public Holidays,16:13,16:16,16:20,16:21,16:22,16:23,16:25,16:26,16:27,16:28,16:29,16:30,16:32,16:33,16:35
214C,Sundays and Public Holidays,16:41,16:44,16:48,16:49,16:50,16:51,16:53,16:54,16:55,16:56,16:57,16:58,17:00,17:01,17:03
214C,Sundays and Public Holidays,17:09,17:12,17:16,17:17,17:18,17:19,17:21,17:22,17:23,17:24,17:25,17:26,17:28,17:29,17:31
214C,Sundays and Public Holidays,17:37,17:40,17:44,17:45,17:46,17:47,17:49,17:50,17:51,17:52,17:53,17:54,17:56,17:57,17:59
214C,Sundays and Public Holidays,18:05,18:08,18:12,18:13,18:14,18:15,18:17,18:18,18:19,18:20,18:21,18:22,18:24,18:25,18:27
214C,Sundays and Public Holidays,18:33,18:36,18:40,18:41,18:42,18:43,18:45,18:46,18:47,18:48,18:49,18:50,18:52,18:53,18:55
214C,Sundays and Public Holidays,19:01,19:04,19:08,19:09,19:10,19:11,19:13,19:14,19:15,19:16,19:17,19:18,19:20,19:21,19:23
214C,Sundays and Public Holidays,19:29,19:32,19:36,19:37,19:38,19:39,19:41,19:42,19:43,19:44,19:45,19:46,19:48,19:49,19:51
214C,Sundays and Public Holidays,19:57,20:00,20:04,20:05,20:06,20:07,20:09,20:10,20:11,20:12,20:13,20:14,20:16,20:17,20:19
214C,Sundays and Public Holidays,20:25,20:28,20:32,20:33,20:34,20:35,20:37,20:38,20:39,20:40,20:41,20:42,20:44,20:45,20:47
214C,Sundays and Public Holidays,20:53,20:56,21:00,21:01,21:02,21:03,21:05,21:06,21:07,21:08,21:09,21:10,21:12,21:13,21:15
