route_number,day_type,Civic Centre,Adderley,Groote Kerk,Dorp,Upper Long,Lower Kloof,Ludwigs Garden,Belle Ombre,St Michaels,Cotswold,Higgo,Kloof Nek,Comrie,Atholl,Woodford,Quebec,Camps Bay
107,Mondays to Fridays,15:21,15:25,15:29,15:32,15:33,15:36,15:38,15:40,15:42,15:43,15:45,15:46,15:49,15:50,15:51,15:52,15:56
107,Mondays to Fridays,15:39,15:43,15:47,15:50,15:51,15:54,15:56,15:58,16:00,16:01,16:03,16:04,16:07,16:08,16:09,16:10,16:14
107,Mondays to Fridays,15:48,15:52,15:56,15:59,16:00,16:03,16:05,16:07,16:09,16:10,16:12,16:13,16:16,16:17,16:18,16:19,16:23
107,Mondays to Fridays,15:57,16:01,16:05,16:08,16:09,16:12,16:14,16:16,16:18,16:19,16:21,16:22,16:25,16:26,16:27,16:28,16:32
107,Mondays to Fridays,16:06,16:10,16:14,16:17,16:18,16:21,16:23,16:25,16:27,16:28,16:30,16:31,16:34,16:35,16:36,16:37,16:41
107,Mondays to Fridays,16:15,16:19,16:23,16:26,16:27,16:30,16:32,16:34,16:36,16:37,16:39,16:40,16:43,16:44,16:45,16:46,16:50
107,Mondays to Fridays,16:24,16:28,16:32,16:35,16:36,16:39,16:41,16:43,16:45,16:46,16:48,16:49,16:52,16:53,16:54,16:55,16:59
107,Mondays to Fridays,16:42,16:46,16:50,16:53,16:54,16:57,16:59,17:01,17:03,17:04,17:06,17:07,17:10,17:11,17:12,17:13,17:17
107,Mondays to Fridays,16:51,16:55,16:59,17:02,17:03,17:06,17:08,17:10,17:12,17:13,17:15,17:16,17:19,17:20,17:21,17:22,17:26
107,Mondays to Fridays,17:09,17:13,17:17,17:20,17:21,17:24,17:26,17:28,17:30,17:31,17:33,17:34,17:37,17:38,17:39,17:40,17:44
107,Mondays to Fridays,17:18,17:22,17:26,17:29,17:30,17:33,17:35,17:37,17:39,17:40,17:42,17:43,17:46,17:47,17:48,17:49,17:53
107,Mondays to Fridays,17:27,17:31,17:35,17:38,17:39,17:42,17:44,17:46,17:48,17:49,17:51,17:52,17:55,17:56,17:57,17:58,18:02
107,Mondays to Fridays,17:36,17:40,17:44,17:47,17:48,17:51,17:53,17:55,17:57,17:58,18:00,18:01,18:04,18:05,18:06,18:07,18:11
107,Mondays to Fridays,17:45,17:49,17:53,17:56,17:57,18:00,18:02,18:04,18:06,18:07,18:09,18:10,18:13,18:14,18:15,18:16,18:20
107,Mondays to Fridays,17:54,17:58,18:02,18:05,18:06,18:09,18:11,18:13,18:15,18:16,18:18,18:19,18:22,18:23,18:24,18:25,18:29
107,Mondays to Fridays,18:12,18:16,18:20,18:23,18:24,18:27,18:29,18:31,18:33,18:34,18:36,18:37,18:40,18:41,18:42,18:44,18:48
107,Mondays to Fridays,18:21,18:25,18:29,18:32,18:33,18:36,18:38,18:40,18:42,18:43,18:45,18:46,18:49,18:50,18:51,18:53,18:57
107,Mondays to Fridays,18:39,18:43,18:47,18:50,18:51,18:54,18:56,18:58,19:00,19:01,19:03,19:04,19:07,19:08,19:09,19:11,19:15
107,Mondays to Fridays,18:48,18:52,18:56,18:59,19:00,19:03,19:05,19:07,19:09,19:10,19:12,19:13,19:16,19:17,19:18,19:20,19:24
107,Mondays to Fridays,19:06,19:10,19:14,19:17,19:18,19:21,19:23,19:25,19:27,19:28,19:30,19:31,19:34,19:35,19:36,19:38,19:42
107,Saturdays,05:49,05:53,05:57,06:01,06:02,06:04,06:06,06:08,06:10,06:11,06:13,06:14,06:17,06:18,06:19,06:20,06:22
107,Saturdays,06:07,06:11,06:15,06:19,06:20,06:22,06:24,06:26,06:28,06:29,06:31,06:32,06:35,06:36,06:37,06:38,06:40
107,Saturdays,06:25,06:29,06:33,06:37,06:38,06:40,06:42,06:44,06:46,06:47,06:49,06:50,06:53,06:54,06:55,06:56,06:58
107,Saturdays,06:43,06:47,06:51,06:55,06:56,06:58,07:00,07:02,07:04,07:05,07:07,07:08,07:11,07:12,07:13,07:14,07:16
107,Saturdays,07:01,07:05,07:09,07:13,07:14,07:16,07:18,07:20,07:22,07:23,07:25,07:26,07:29,07:30,07:31,07:32,07:34
107,Saturdays,07:19,07:23,07:27,07:31,07:32,07:34,07:36,07:38,07:40,07:41,07:43,07:44,07:47,07:48,07:49,07:50,07:52
107,Saturdays,07:37,07:41,07:45,07:49,07:50,07:52,07:54,07:56,07:58,07:59,08:01,08:02,08:05,08:06,08:07,08:08,08:10
107,Saturdays,07:55,07:59,08:03,08:07,08:08,08:10,08:12,08:14,08:16,08:17,08:19,08:20,08:23,08:24,08:25,08:26,08:28
107,Saturdays,08:13,08:17,08:21,08:25,08:26,08:28,08:30,08:32,08:34,08:35,08:37,08:38,08:41,08:42,08:43,08:44,08:46
107,Saturdays,08:31,08:35,08:39,08:43,08:44,08:46,08:48,08:50,08:52,08:53,08:55,08:56,08:59,09:00,09:01,09:02,09:04
107,Saturdays,08:49,08:53,08:57,09:01,09:02,09:04,09:06,09:08,09:10,09:11,09:13,09:14,09:17,09:18,09:19,09:20,09:22
107,Saturdays,09:07,09:11,09:15,09:19,09:20,09:22,09:24,09:26,09:28,09:29,09:31,09:32,09:35,09:36,09:37,09:38,09:40
107,Saturdays,09:25,09:29,09:33,09:37,09:38,09:40,09:42,09:44,09:46,09:47,09:49,09:50,09:53,09:54,09:55,09:56,09:58
107,Saturdays,09:43,09:47,09:51,09:55,09:56,09:58,10:00,10:02,10:04,10:05,10:07,10:08,10:11,10:12,10:13,10:14,10:16
107,Saturdays,10:01,10:05,10:09,10:13,10:14,10:16,10:18,10:20,10:22,10:23,10:25,10:26,10:29,10:30,10:31,10:32,10:34
107,Saturdays,10:19,10:23,10:27,10:31,10:32,10:34,10:36,10:38,10:40,10:41,10:43,10:44,10:47,10:48,10:49,10:50,10:52
107,Saturdays,10:37,10:41,10:45,10:49,10:50,10:52,10:54,10:56,10:58,10:59,11:01,11:02,11:05,11:06,11:07,11:08,11:10
107,Saturdays,10:55,10:59,11:03,11:07,11:08,11:10,11:12,11:14,11:16,11:17,11:19,11:20,11:23,11:24,11:25,11:26,11:28
107,Saturdays,11:13,11:17,11:21,11:25,11:26,11:28,11:30,11:32,11:34,11:35,11:37,11:38,11:41,11:42,11:43,11:44,11:46
107,Saturdays,11:31,11:35,11:39,11:43,11:44,11:46,11:48,11:50,11:52,11:53,11:55,11:56,11:59,12:00,12:01,12:02,12:04
