trip_id,day_type,direction,route,CAPE TOWN,ESPLANADE,YSTERPLAAT,MUTUAL,LANGA,BONTEHEUWEL,LAVISTOWN,BELHAR,UNIBELL,PENTECH,SAREPTA,BELLVILLE
9009,SATURDAYS,outbound,S10,07:15,07:19,07:23,07:28,07:33,07:37,07:42,07:46,07:49,07:52,07:55,08:01
9011,SATURDAYS,outbound,S10,08:00,08:04,08:08,08:13,08:18,08:22,08:27,08:31,08:34,08:37,08:40,08:46
9013,SATURDAYS,outbound,S10,08:55,08:59,09:03,09:08,09:13,09:17,09:22,09:26,09:29,09:32,09:35,09:41
9015,SATURDAYS,outbound,S10,10:25,10:29,10:33,10:38,10:43,10:47,10:52,10:56,10:59,11:02,11:05,11:11
9017,SATURDAYS,outbound,S10,12:00,12:04,12:08,12:13,12:18,12:22,12:27,12:31,12:34,12:37,12:40,12:46
9019,SATURDAYS,outbound,S10,13:10,13:14,13:18,13:23,13:28,13:32,13:37,13:41,13:44,13:47,13:50,13:56
9021,SATURDAYS,outbound,S10,14:40,14:44,14:48,14:53,14:58,15:02,15:07,15:11,15:14,15:17,15:20,15:26
9023,SATURDAYS,outbound,S10,15:55,15:59,16:03,16:08,16:13,16:17,16:22,16:26,16:29,16:32,16:35,16:41
9025,SATURDAYS,outbound,S10,17:46,17:50,17:54,17:59,18:04,18:08,18:13,18:17,18:20,18:23,18:26,18:32
9027,SATURDAYS,outbound,S10,18:30,18:34,18:38,18:43,18:48,18:52,18:57,19:01,19:04,19:07,19:10,19:16
9002,SATURDAYS,inbound,S10,06:16,06:11,06:07,06:01,05:57,05:54,05:49,05:45,05:42,05:40,05:37,05:30
9004,SATURDAYS,inbound,S10,06:59,06:54,06:50,06:44,06:40,06:37,06:32,06:28,06:25,06:23,06:20,06:13
9010,SATURDAYS,inbound,S10,09:01,08:56,08:52,08:46,08:42,08:39,08:34,08:30,08:27,08:25,08:22,08:15
9012,SATURDAYS,inbound,S10,09:51,09:46,09:42,09:36,09:32,09:29,09:24,09:20,09:17,09:15,09:12,09:05
9016,SATURDAYS,inbound,S10,12:16,12:11,12:07,12:01,11:57,11:54,11:49,11:45,11:42,11:40,11:37,11:30
9020,SATURDAYS,inbound,S10,15:00,14:55,14:51,14:45,14:41,14:38,14:32,14:28,14:25,14:23,14:20,14:13
9022,SATURDAYS,inbound,S10,16:31,16:26,16:22,16:16,16:12,16:09,16:04,16:00,15:57,15:55,15:52,15:45
